mlbamID,playerName,team,league,defaultPos,W,L,S,IP,H,R,ER,HR,BB,K,HBP,G_SP,G_RP
150274,Joe Nathan,MIN,AL,RP,6,2,0,70,46,20,19,6,21,82,2,0,70
150277,Doug Davis,MIL,NL,SP,8,9,0,150,155,77,69,17,74,111,3,34,0
150284,Brandon Knight,NYN,NL,SP,3,4,0,63,62,35,31,9,24,53,1,0,0
150289,Carlos Pena,TBA,AL,1B,2,3,0,45,51,30,27,8,16,31,1,130,-130
150302,Jason Marquis,WAS,NL,SP,11,11,0,196,207,99,91,17,73,108,7,33,0
150305,Damian Moss,COL,NL,RP,3,5,0,76,85,53,49,8,56,52,0,0,0
150319,Josh Fogg,PHI,NL,SP,3,4,0,63,68,39,36,11,24,35,3,1,23
150337,Kip Wells,CIN,NL,RP,2,4,0,54,53,33,31,6,28,38,3,7,26
150359,A.j. Burnett,NYA,AL,SP,13,8,0,187,172,89,84,19,77,181,9,33,0
150373,Michael Tejera,CLE,AL,RP,2,5,0,63,78,48,43,10,33,29,0,0,0
150378,Eric Gagne,LAN,NL,RP,2,3,0,46,44,24,24,8,19,41,2,0,0
150382,Matt Herges,KCA,AL,RP,2,3,0,41,47,22,20,4,14,27,1,0,30
150393,Tony Armas,ATL,NL,SP,3,5,0,71,76,43,39,11,28,47,2,0,0
150404,Ted Lilly,CHN,NL,SP,8,6,0,126,115,57,55,17,34,108,3,27,0
150407,Guillermo Mota,SFN,NL,RP,3,3,0,57,48,29,27,7,22,40,3,0,61
150414,Jake Westbrook,CLE,AL,SP,3,3,0,55,59,27,26,6,16,32,2,0,0
150430,Luis Vizcaino,,,RP,2,2,0,38,35,20,20,5,21,33,1,0,15
150433,Ben Davis,CIN,NL,C,1,1,0,18,18,11,10,3,6,15,0,0,0
150438,Rodrigo Lopez,ARI,NL,SP,3,5,0,71,86,47,39,9,18,45,0,5,2
150469,John Bale,,,RP,1,1,0,21,26,13,11,2,9,15,0,0,43
150474,Gary Glover,,,RP,2,3,0,41,44,26,24,7,14,30,1,0,0
207267,Brad Penny,SLN,NL,SP,9,9,0,158,164,82,76,18,55,105,5,30,0
211041,Ryan Franklin,SLN,NL,RP,5,3,30,70,64,27,27,6,25,47,2,0,62
213680,Mike Macdougal,WAS,NL,RP,1,2,0,31,31,19,17,2,22,22,1,0,57
