mlbamID,playerName,team,league,defaultPos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF
115732,Todd Helton,COL,NL,,35,133,485,75,138,30,2,14,65,1,1,95,71,3,0,81,0,0,0,0,0,0,0
116338,Torii Hunter,LAA,AL,,33,136,513,80,141,29,1,22,81,14,5,44,95,4,0,0,0,0,0,0,137,0,137
116380,Raul Ibanez,PHI,NL,,37,144,557,85,160,30,2,26,99,2,2,60,90,2,0,0,0,0,0,153,0,0,153
116539,Derek Jeter,NYA,AL,,35,146,595,94,175,30,3,12,68,12,4,59,98,8,0,0,0,0,148,0,0,0,0
116662,Andruw Jones,TEX,AL,,32,140,494,72,114,22,1,27,87,3,1,58,121,5,0,0,0,0,0,0,66,0,66
116706,Chipper Jones,ATL,NL,,37,114,410,77,127,24,1,21,72,3,1,73,64,1,0,0,0,115,0,0,0,0,0
116974,Jason Kendall,MIL,NL,,35,140,505,56,127,24,1,3,45,6,3,49,48,9,149,0,0,0,0,0,0,0,0
116999,Jeff Kent,,,,41,119,438,56,114,23,1,14,62,1,1,41,64,5,0,1,116,0,0,0,0,0,0
117244,Paul Konerko,CHA,AL,,33,142,517,76,136,25,1,28,84,1,0,72,97,5,0,116,0,0,0,0,0,0,0
117276,Mark Kotsay,BOS,AL,,33,121,462,53,124,30,2,7,56,4,2,39,51,1,0,6,0,0,0,0,84,19,103
117601,Derrek Lee,CHN,NL,,33,138,532,85,156,34,2,23,77,7,3,68,106,3,0,153,0,0,0,0,0,0,0
117928,Mark Loretta,LAN,NL,,37,120,412,47,108,19,1,4,39,2,1,43,43,4,0,2,46,17,5,0,0,0,0
119811,Trot Nixon,MIL,NL,,35,111,358,53,88,18,0,11,47,1,1,61,63,2,0,0,0,0,0,6,0,5,10
119853,Greg Norton,ATL,NL,,36,109,270,39,69,13,0,10,38,1,1,42,64,1,0,11,0,0,0,25,0,2,26
119865,Abraham Nunez,NYN,NL,,33,139,406,52,94,17,1,8,48,4,2,50,91,2,0,0,0,0,0,0,0,0,0
120044,Magglio Ordonez,DET,AL,,35,136,516,75,156,30,1,20,93,2,2,52,73,2,0,0,0,0,0,0,0,135,135
120074,David Ortiz,BOS,AL,,33,139,517,99,147,33,1,35,111,1,0,99,102,2,0,0,0,0,0,0,0,0,0
120416,Tomas Perez,HOU,NL,,35,110,339,39,79,16,1,3,32,2,1,20,62,1,0,0,5,1,0,0,0,0,0
120691,Jorge Posada,NYA,AL,,37,128,433,60,115,23,1,16,67,1,0,62,90,4,30,7,0,0,0,0,0,0,0
120903,Manny Ramirez,LAN,NL,,37,135,483,87,140,24,1,32,101,1,0,82,106,6,0,0,0,0,0,119,0,0,119
121074,Edgar Renteria,SFN,NL,,33,138,534,85,151,30,2,11,59,8,3,50,78,1,0,0,0,0,138,0,0,0,0
121347,Alex Rodriguez,NYA,AL,,33,146,541,111,159,27,1,39,116,15,4,82,124,11,0,0,0,131,0,0,0,0,0
121358,Ivan Rodriguez,HOU,NL,,37,120,453,53,118,23,2,10,46,5,2,20,83,2,112,0,0,0,0,0,0,0,0
121409,Scott Rolen,TOR,AL,,34,117,420,61,107,27,2,12,59,4,2,43,70,6,0,0,0,115,0,0,0,0,0
122027,Richie Sexson,,,,34,130,449,62,107,22,0,25,76,1,0,61,119,3,0,92,0,0,0,0,0,0,0
122111,Gary Sheffield,DET,AL,,40,119,446,72,108,17,0,20,68,9,3,62,74,5,0,0,0,0,0,6,0,0,6
122644,Matt Stairs,PHI,NL,,41,112,323,44,80,14,0,14,48,1,1,42,73,3,0,0,0,0,0,9,0,10,19
122784,Shannon Stewart,TOR,AL,,35,120,466,56,122,21,2,9,44,6,2,41,60,3,0,0,0,0,0,40,0,0,40
