playerName,mlbamID,Tm,Lg,Pos
Trevor May,543507,PHI,NL,SP
Ramon Oviedo,593579,PHI,NL,SP
Jonathan Pettibone,543643,PHI,NL,SP
J. C. Ramirez,500724,PHI,NL,SP
Julio Rodriguez,543713,PHI,NL,SP
Josh Warner,599412,PHI,NL,SP
Vance Worley,474699,PHI,NL,SP
Jo-Jo Reyes,457456,PIT,NL,SP
Nathan Baker,571460,PIT,NL,SP
Brian Burres,434638,SFN,NL,SP
Colton Cain,545335,PIT,NL,SP
Kevin Correia,429781,PIT,NL,SP
Michael Crotta,453273,PIT,NL,SP
Brandon Cumpton,592238,PIT,NL,SP
Zack Dodson,571621,PIT,NL,SP
Nelson Figueroa,150153,TOR,AL,SP
