playerName,mlbamID,Tm,Lg,Pos
Jordan Cooper,543052,CLE,AL,SP
Kelvin De La Cruz,456061,CLE,AL,SP
Paolo Espino,502179,CLE,AL,SP
Jeanmar Gomez,491646,CLE,AL,SP
Michael Goodnight,543235,CLE,AL,SP
T. J. House,543334,CLE,AL,SP
David Huff,453307,CLE,AL,SP
Daniel Jimenez,543363,CLE,AL,SP
Ubaldo Jimenez,434622,CLE,AL,SP
Corey Kluber,446372,CLE,AL,SP
Derek Lowe,117955,CLE,AL,SP
Justin Masterson,475416,CLE,AL,SP
Zach McAllister,502083,CLE,AL,SP
T. J. McFarland,519008,CLE,AL,SP
Matt Packer,573077,CLE,AL,SP
Marty Popham,543657,CLE,AL,SP
Mike Rayl,543681,CLE,AL,SP
Anthony Reyes,435039,CLE,AL,SP
Hector Rondon,444468,CLE,AL,SP
Danny Salazar,517593,CLE,AL,SP
Giovanni Soto,543803,CLE,AL,SP
Jeremy Sowers,460265,CLE,AL,SP
Felix Sterling,596834,CLE,AL,SP
Mitch Talbot,452676,CLE,AL,SP
Josh Tomlin,458708,CLE,AL,SP
Kirk Wetmore,572250,CLE,AL,SP
Chris Seddon,434629,CLE,AL,SP
Christian Bergman,548357,COL,NL,SP
Chad Bettis,518452,COL,NL,SP
Billy Buckner,434438,BOS,AL,SP
Edwar Cabrera,542369,COL,NL,SP
Albert Campos,542590,COL,NL,SP
Jhoulys Chacin,468504,COL,NL,SP
Tyler Chatwood,543022,COL,NL,SP
Jorge de la Rosa,407822,COL,NL,SP
Raul Fernandez,542439,COL,NL,SP
Ricardo Ferrer,517353,COL,NL,SP
Parker Frazier,518691,COL,NL,SP
Christian Friedrich,543184,COL,NL,SP
Tyler Gagnon,572860,COL,NL,SP
Joseph Gardner,571688,COL,NL,SP
Edgar Gonzalez,429440,COL,NL,SP
Juan Gonzalez,517355,COL,NL,SP
Jason Hammel,434628,BAL,AL,SP
David Hernandez,575169,COL,NL,SP
Jefri Hernandez,542362,COL,NL,SP
Dan Houston,493476,COL,NL,SP
Alan Johnson,489567,COL,NL,SP
John Maine,429720,BOS,AL,SP
Tyler Matzek,554431,COL,NL,SP
Vianney Mayo,516687,COL,NL,SP
Clayton Mortensen,489150,BOS,AL,SP
Joshua Mueller,592573,COL,NL,SP
Juan Nicasio,504379,COL,NL,SP
Daniel Perkins,573089,COL,NL,SP
