mlbamID,playerName,team,league,defaultPos,Age,W,L,S,G,GS,IP,H,R,ER,HR,BB,K,WP,HBP,G_SP,G_RP
435178,Josh Johnson,FLO,NL,SP,24,8,3,,18,18,113,107,45,42,8,34,100,5,3,33,0
435179,Scott Olsen,WAS,NL,SP,26,4,6,,15,15,89,96,55,49,15,34,60,3,1,11,0
435221,Brandon Mccarthy,TEX,AL,SP,26,3,3,,12,10,56,60,32,30,6,23,37,1,1,17,0
435222,Josh Fields,KCA,AL,3B,27,1,3,,30,0,32,40,24,23,6,15,21,2,1,62,-62
435261,Zach Miner,DET,AL,RP,27,5,4,,35,6,73,78,40,38,7,32,45,2,2,5,46
435298,Jeff Niemann,TBA,AL,SP,26,8,6,,22,21,123,130,69,64,15,47,84,4,4,30,1
435378,Chad Orvella,KCA,AL,RP,29,1,3,,29,1,38,47,29,25,7,15,23,1,1,,
435400,Jason Motte,SLN,NL,RP,27,3,3,,53,0,49,46,25,23,7,20,51,3,1,0,69
435402,Luis Maza,LAN,NL,2B,29,0,0,,9,0,9,9,5,5,1,4,7,0,0,,
435458,Travis Chick,LAA,AL,SP,25,5,9,,23,18,104,117,75,69,16,58,66,10,0,,
435498,Kenny Perez,COL,NL,RP,28,0,0,,10,0,14,16,7,6,1,3,7,0,0,,
435500,Dan Giese,,,RP,32,1,2,,14,2,30,30,15,14,3,9,19,1,0,1,6
435538,Bill Bray,CIN,NL,RP,26,1,1,,23,0,21,21,11,9,2,9,23,1,0,,
435618,Jeremy Accardo,TOR,AL,RP,28,1,2,,31,0,32,30,15,14,2,14,23,0,1,0,26
435620,Jack Taschner,,,RP,31,2,1,,35,0,33,38,21,18,3,19,26,3,1,0,24
435626,Clay Timpner,SFN,NL,OF,26,0,0,,9,0,9,10,5,5,1,4,7,0,0,,
435638,Zach Jackson,TOR,AL,SP,26,3,5,,18,10,69,89,53,46,11,28,37,3,1,1,2
435658,Jorge Campillo,KCA,AL,SP,31,2,2,,11,6,44,53,27,23,5,13,26,1,0,0,5
435679,Jon Huber,ATL,NL,RP,28,2,3,,33,0,45,49,26,22,5,14,32,5,0,,
441292,Felix Romero,SFN,NL,RP,29,5,5,,50,0,74,77,43,38,9,27,61,4,0,,
441799,Brian Mazone,PHI,NL,SP,33,6,7,,22,16,98,109,61,55,15,29,57,2,0,,
442707,Mark Difelice,MIL,NL,RP,33,4,2,,38,4,55,50,24,22,7,13,48,2,1,0,59
443563,Alex Serrano,,,,28,1,2,,21,0,27,34,20,17,6,7,15,0,0,,
444126,Rafael Rodriguez,LAA,AL,RP,25,1,2,,30,1,45,60,34,29,6,17,21,3,0,0,18
444127,Warner Madrigal,TEX,AL,RP,25,1,2,,32,0,34,40,24,22,5,16,24,2,0,0,13
444354,Daryl Thompson,CIN,NL,SP,24,2,5,,12,11,58,68,43,38,12,22,34,3,1,,
444360,Daniel Davidson,LAA,AL,RP,29,1,2,,25,2,37,48,31,28,8,17,21,2,0,0,4
444363,Andrew Graham,,,,27,3,6,,37,9,78,94,63,57,15,39,53,4,0,,
444370,Carlos Muniz,NYN,NL,RP,28,2,2,,23,0,28,28,18,17,5,14,20,3,1,,
444371,Jeff Karstens,PIT,NL,SP,27,2,4,,18,8,55,63,35,31,8,20,29,2,1,13,26
444382,Eddie Bonine,DET,AL,SP,28,3,5,,15,12,75,95,53,47,11,18,31,2,1,4,6
444418,Matt Wright,OAK,AL,SP,22,4,7,,17,15,88,116,69,62,15,38,44,6,0,,
444427,Kanekoa Texeira,SEA,AL,RP,23,5,7,,45,3,74,85,51,46,9,46,46,7,0,,
444436,Ryan Webb,SDN,NL,RP,23,3,6,,30,7,61,68,40,35,10,28,35,3,0,0,28
444440,Nick Adenhart,,,,23,4,5,,11,11,62,76,43,38,6,33,35,6,0,1,0
444444,Mitch Atkins,CHN,NL,SP,24,4,10,,18,17,95,109,77,71,22,42,64,2,0,0,2
444446,Collin Balester,WAS,NL,SP,23,4,7,,15,15,81,89,52,46,12,32,50,5,1,7,0
444447,Chad Beck,,,,25,3,9,,28,15,98,125,83,73,19,48,58,13,0,,
444468,Hector Rondon,CLE,AL,SP,21,9,11,,26,25,134,161,92,79,19,46,87,4,0,,
444474,Roque Mercedes,MIL,NL,RP,23,1,4,,38,5,65,73,51,47,12,37,50,4,0,,
444484,Andres Rosales,,,,21,1,6,,28,3,40,48,40,38,13,40,32,9,0,,
444520,Craig Breslow,OAK,AL,RP,29,5,5,,61,0,61,48,28,26,6,24,47,4,2,0,77
444523,Ronnie Ray,SFN,NL,RP,25,3,6,,43,6,81,93,54,47,10,33,44,7,0,,
444524,Polin Trinidad,HOU,NL,SP,25,6,13,,25,24,146,169,99,88,29,43,89,6,0,,
444553,Aneury Rodriguez,TBA,AL,SP,22,6,13,,26,26,130,155,104,95,26,66,76,10,0,,
444566,Valerio Heredia,,,,23,0,0,,9,0,10,10,6,5,1,5,7,0,0,,
444836,Aaron Laffey,CLE,AL,SP,24,4,6,,15,13,79,91,47,42,8,34,39,2,2,19,6
444839,Craig Stansberry,SDN,NL,,27,0,0,,9,0,10,10,6,5,2,4,8,0,0,0,0
444849,Jay Sborz,DET,AL,RP,25,1,3,,25,1,32,38,27,24,6,22,23,4,0,,
444857,Scott Feldman,TEX,AL,SP,26,8,5,,25,16,110,115,58,57,10,40,63,3,6,31,3
444864,Jimmy Barthmaier,PIT,NL,SP,26,3,6,,17,16,81,90,54,48,11,44,58,3,1,,
444865,Jason Hirsh,NYA,AL,SP,27,4,6,,17,15,87,105,66,59,14,39,48,4,1,,
444874,Juan Abreu,ATL,NL,RP,24,2,7,,34,1,46,50,40,38,9,55,41,6,0,,
444884,Chris Ray,TEX,AL,RP,28,1,3,,34,0,34,43,24,20,4,18,29,0,1,0,46
444935,Nick Hagadone,,,,24,2,2,,12,12,35,35,20,19,2,28,28,6,0,,
444961,Matt Miller,COL,NL,OF,27,2,3,,30,0,33,35,22,20,4,20,28,1,1,,
444970,James Parr,ATL,NL,SP,23,3,3,,12,9,54,61,37,32,9,21,35,1,1,0,8
444988,Brandon Todd,,,,24,3,4,,40,0,45,43,27,25,4,36,40,17,0,,
444992,Duke Welker,,,,23,3,9,,25,17,88,105,72,66,11,80,44,25,0,,
445030,Adrian Alaniz,WAS,NL,SP,25,4,6,,23,15,84,90,57,53,13,49,57,3,0,,
445060,Ricky Nolasco,FLO,NL,SP,27,8,5,,18,17,109,110,56,50,14,27,103,2,2,31,0
445074,Jason Mackintosh,PHI,NL,RP,29,2,3,,33,1,42,48,28,25,5,19,25,4,0,,
445090,Bobby Korecky,,,RP,30,2,2,,28,0,33,38,20,17,2,12,21,3,0,0,5
445104,Brad Salmon,LAA,AL,RP,30,4,6,,39,8,82,97,60,54,10,49,52,6,0,,
445152,Adam Pavkovich,LAA,AL,3B,28,0,0,,9,0,9,11,7,6,2,3,7,0,0,,
445153,Darin Downs,TBA,AL,RP,25,6,7,,33,11,91,108,63,56,14,37,55,8,0,,
445156,Sean Marshall,CHN,NL,RP,27,3,5,,33,9,67,71,36,33,8,25,51,2,2,9,46
445159,James Heuser,OAK,AL,RP,25,2,6,,37,6,63,76,57,52,13,54,39,4,0,,
445163,Casey Janssen,TOR,AL,RP,28,2,3,,26,5,44,49,25,21,3,14,26,2,2,5,16
445164,Brent Johnson,SEA,AL,OF,27,0,0,,9,0,10,10,5,4,1,3,7,0,0,,
445170,Todd Redmond,ATL,NL,SP,24,6,11,,27,25,144,163,99,89,28,55,91,3,0,,
445177,Deunte Heath,ATL,NL,SP,24,4,8,,29,18,112,121,76,69,14,78,72,9,0,,
445185,Clayton Hamilton,TEX,AL,RP,27,2,4,,37,5,65,85,52,46,10,26,28,4,0,,
445197,Michael Dunn,ATL,NL,RP,24,2,5,,25,6,57,68,49,45,11,44,43,4,0,0,4
445200,Josh Wahpepah,MIL,NL,RP,25,2,4,,36,4,63,64,41,38,4,58,39,10,0,,
445204,Tyson Brummett,PHI,NL,SP,25,4,10,,27,19,117,139,88,78,20,53,66,9,0,,
445213,Brandon Kintzler,MIL,NL,SP,25,2,3,,10,7,48,51,30,27,8,18,35,2,1,,
445216,Daniel Mccutchen,PIT,NL,SP,27,5,8,,18,17,101,116,63,56,16,29,64,3,1,6,0
445222,Jack Cassel,CLE,AL,SP,29,4,6,,16,13,86,106,59,52,12,35,44,6,1,,
445239,Adam Bostick,KCA,AL,RP,26,3,4,,31,7,62,61,39,36,10,33,51,4,0,,
445246,Jeff Fulchino,HOU,NL,RP,30,3,3,,27,3,47,47,25,22,4,20,36,2,1,0,61
445276,Kenley Jansen,,,,22,0,0,,19,0,19,17,12,11,3,16,18,1,0,,
445590,Eric Stults,LAN,NL,SP,30,4,4,,13,12,71,71,38,34,8,28,48,3,1,10,0
445612,Dale Thayer,TBA,AL,RP,29,3,2,,39,0,46,51,26,22,4,16,27,2,0,0,11
445926,Jesse Chavez,TBA,AL,RP,26,2,4,,53,0,58,61,33,29,9,23,44,5,1,0,73
445938,Calvin Medlock,TBA,AL,RP,27,3,4,,47,1,69,80,49,44,12,27,46,3,0,,
445956,Mike Musgrave,SFN,NL,RP,25,1,2,,34,1,42,46,31,29,5,36,27,10,0,,
445961,Reid Santos,MIN,AL,RP,27,3,5,,36,10,86,111,66,57,14,34,46,3,0,,
445968,Dana Eveland,OAK,AL,SP,26,4,5,,15,14,77,90,51,46,9,37,46,4,2,9,4
445969,Yoffri Martinez,,,,24,1,6,,30,0,35,42,34,32,7,43,22,17,0,,
445984,Jesus Delgado,CIN,NL,RP,25,2,4,,31,2,50,56,34,31,5,32,29,5,0,,
445986,Geivy Garcia,SFN,NL,RP,27,1,4,,38,6,65,65,45,44,7,59,47,5,0,,
445995,Arturo Lopez,SDN,NL,RP,26,1,1,,20,1,30,31,18,16,3,17,18,1,0,0,4
446003,Luis Valdez,ATL,NL,RP,25,3,4,,40,1,55,57,32,29,6,28,43,5,0,0,3
446037,Brendan Monaghan,,,,24,0,0,,11,0,11,13,7,7,1,7,7,0,0,,
