mlbamID,playerName,team,league,IP,W,L,S,H,R,ER,HR,K,BB,IBB,HBP,WP,BK,G_SP,G_RP
434587,Devon Lowery,KCA,AL,4.33,0,0,0,6,47,5,2,6,2,1,6,5,1,0,5
434590,Yorman Bazardo,PHI,NL,3,0,0,0,7,16,8,0,3,5,3,2,4,0,0,3
434591,Randy Messenger,SEA,AL,12.67,0,0,1,16,8,5,1,7,5,0,0,0,0,0,13
434592,Chris Resop,ATL,NL,18.33,0,1,0,16,7,12,2,13,10,0,1,0,0,0,16
434619,Enrique Gonzalez,SDN,NL,3.33,1,0,0,4,111,4,0,1,2,1,7,2,2,0,4
434622,Ubaldo Jimenez,COL,NL,198.67,12,12,0,182,66,88,11,172,103,2,3,6,0,34,0
434623,Juan Morillo,COL,NL,1,0,0,0,1,33,0,0,0,0,4,8,5,1,0,1
434627,Ryan Speier,COL,NL,51,2,1,0,52,36,23,3,33,18,1,1,4,0,0,43
434628,Jason Hammel,TBA,AL,78.33,4,4,2,83,106,40,11,44,35,13,3,5,0,5,35
434637,Matt Lindstrom,FLO,NL,57.33,3,3,5,57,11,20,1,43,26,0,1,0,0,0,66
434638,Brian Burres,TOR,AL,129.67,7,10,0,165,60,87,17,63,50,3,6,4,0,22,9
434643,Wandy Rodriguez,HOU,NL,137.33,9,7,0,136,12,54,14,131,44,0,1,0,0,25,0
434663,Leo Nunez,FLO,NL,48.33,4,1,0,45,2,16,2,26,15,0,0,0,0,0,45
434665,Nick Masset,CIN,NL,62,2,0,1,71,106,27,7,43,26,0,13,14,0,1,41
434666,Josh Rupe,TEX,AL,89.33,3,1,0,93,22,51,8,53,46,1,1,1,0,0,46
434668,Manny Delcarmen,BOS,AL,74.33,1,2,2,55,19,27,5,72,28,5,1,2,0,0,73
434669,Luis Mendoza,TEX,AL,63.33,3,8,1,97,10,61,7,35,25,2,1,1,0,11,14
434671,Anibal Sanchez,FLO,NL,51.67,2,5,0,54,34,32,7,50,27,2,3,1,1,10,0
434672,Chris Smith,BOS,AL,18.33,1,0,0,18,27,16,6,13,7,2,2,5,0,0,12
434678,Kyle Davies,KCA,AL,113,9,7,0,121,2,51,10,71,43,0,0,1,0,21,0
434701,Franquelis Osoria,KCA,AL,60.67,4,3,0,87,36,41,10,31,12,0,3,1,0,0,43
434718,Huston Street,COL,NL,70,7,5,18,58,74,29,6,69,27,2,1,2,0,0,63
434884,Ryan Rowland-Smith,SEA,AL,118.33,5,3,2,114,11,45,13,77,48,0,7,1,0,12,35
434958,Sean Green,NYN,NL,79,4,5,1,80,7,41,3,62,36,0,0,1,0,0,72
434978,Marino Salas,PIT,NL,17,1,0,0,25,0,16,4,9,14,0,0,0,0,0,13
435039,Anthony Reyes,CLE,AL,49,4,2,1,47,58,15,4,25,15,11,4,3,1,6,10
435043,Zach Duke,PIT,NL,185,5,14,0,230,22,99,19,87,47,0,0,2,0,31,0
435044,Scott Baker,MIN,AL,172.33,11,4,0,161,11,66,20,141,42,0,1,1,1,28,0
435158,Keiichi Yabu,SFN,NL,68,3,6,0,63,14,27,3,48,32,0,2,2,0,0,60
435178,Josh Johnson,FLO,NL,87.33,7,1,0,91,32,35,7,77,27,0,0,1,0,14,0
435179,Scott Olsen,WAS,NL,201.67,8,11,0,195,19,94,30,113,69,0,2,0,0,33,0
435221,Brandon McCarthy,TEX,AL,22,1,1,0,20,12,10,3,10,8,0,0,2,0,5,0
435261,Zach Miner,DET,AL,118,8,5,0,118,53,56,10,62,46,1,6,4,0,13,32
435298,Jeff Niemann,TBA,AL,16,2,2,0,18,3,9,3,14,8,0,0,0,0,2,3
