mlbamID,playerName,team,league,defaultPos,age,AB,R,H,2B,3B,HR,BB,HBP,SF,SH,RBI,SO,SB,CS,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF
,Charlie Fermaint,,,,22,437,38,82,18,1,5,31,4,3,1,32,49,8,4,,,,,,,,,
,Charlie Kingrey,,,,23,426,42,107,20,0,11,27,3,1,1,51,101,3,3,,,,,,,,,
,Charlie Pelt,,,,23,107,8,20,5,0,2,6,2,0,0,10,12,0,0,,,,,,,,,
,Chase D'arnaud,,,,21,216,25,55,12,1,2,9,2,1,1,20,51,10,2,,,,,,,,,
,Chase Fontaine,,,,22,346,38,71,12,1,3,37,2,1,2,25,50,1,5,,,,,,,,,
,Chase Lambin,,,2B,29,371,45,85,18,2,9,37,4,3,2,40,51,1,1,,,,,,,,,
,Chase Odenreider,,,,24,112,10,23,3,1,3,8,4,1,1,12,12,1,0,,,,,,,,,
,Chase Weems,,,,19,75,9,17,3,0,1,6,1,1,0,7,14,1,0,,,,,,,,,
,Che-Hsuan Lin,,,,19,253,30,58,11,1,3,18,3,1,1,18,47,13,4,,,,,,,,,
,Chih-Hsien Chiang,,,,20,341,36,84,25,1,5,14,2,3,0,35,40,1,1,,,,,,,,,
,Chin-Feng Chen,,,,31,185,16,48,9,1,5,16,2,1,2,24,34,2,1,,,,,,,,,
,Chip Cannon,TOR,AL,1B,26,356,41,75,18,0,12,38,4,2,0,40,48,1,0,,,,,,,,,
,Choo Freeman,,,,29,262,33,64,10,2,4,21,2,1,2,23,23,2,2,,,,,,,,,
,Chris Barnwell,,,,30,434,48,104,19,2,6,33,8,1,3,35,11,1,0,,,,,,,,,
,Chris Basak,,,,30,367,42,86,18,2,8,27,4,2,2,37,9,0,0,,,,,,,,,
,Chris Carlson,,,,24,325,31,76,15,1,9,19,5,4,0,38,48,1,1,,,,,,,,,
,Chris Cates,,,,23,309,24,64,8,0,1,18,2,2,6,26,32,3,5,,,,,,,,,
,Chris Coghlan,FLO,NL,2B,23,368,46,92,20,2,6,34,5,2,1,46,34,10,4,,,,,,,,,
,Chris Davis,,,,22,348,53,88,22,0,17,24,3,3,0,51,40,3,1,,,,,,,,,
,Chris Demons,,,,24,254,27,50,10,0,2,21,2,1,3,19,73,13,2,,,,,,,,,
,Chris Denove,,,,25,223,15,53,15,0,2,20,2,2,4,19,39,1,2,,,,,,,,,
,Chris Dunn,,,,24,139,11,29,3,0,1,8,2,1,1,10,23,2,1,,,,,,,,,
,Chris Emanuele,,,,24,412,47,88,20,1,7,31,7,2,3,40,63,5,3,,,,,,,,,
,Chris Errecart,,,,23,388,45,88,21,1,13,25,8,3,2,43,63,1,1,,,,,,,,,
,Chris Fournier,,,,23,89,9,20,2,0,2,8,1,1,0,9,12,0,0,,,,,,,,,
,Chris Frey,COL,NL,OF,24,443,50,125,25,3,3,25,4,2,6,33,27,5,1,,,,,,,,,
,Chris Gimenez,CLE,AL,C,25,363,47,82,19,1,10,41,9,3,2,36,50,1,1,,,,,,,,,
,Chris Gradoville,,,,24,202,20,52,11,0,3,8,5,3,1,16,31,0,1,,,,,,,,,
,Chris Gutierrez,,,,24,316,33,64,15,1,2,32,4,2,1,27,36,0,1,,,,,,,,,
,Chris Hatcher,,,,23,240,21,42,12,0,5,16,4,2,1,24,41,1,1,,,,,,,,,
,Chris Heintz,,,,34,225,19,53,9,0,2,12,1,1,2,23,17,1,0,,,,,,,,,
,Chris Heisey,CIN,NL,OF,23,467,61,119,29,2,9,31,7,2,5,43,54,12,1,,,,,,,,,
