mlbamID,playerName,team,league,defaultPos,W,L,BFP,IP,H,HR,BB,K,HBP,R,ER,Age,G_SP,G_RP
465657,Joakim Soria,KCA,AL,,4,2,240,58,51,4,18,60,3,22,20,25,0,63
466412,Luis Perdomo,SFN,NL,RP,3,4,248,56,55,8,30,48,2,32,30,25,,
466838,Juan Salas,CLE,AL,,4,2,212,50,44,4,20,46,2,21,19,30,0,5
466918,Manuel Corpas,COL,NL,,4,3,287,67,71,6,20,48,2,33,31,26,0,76
466983,Fabio Castro,TOR,AL,,3,3,226,51,49,6,27,43,2,27,25,24,,
467683,Osiris Matos,SFN,NL,,3,4,253,58,57,7,24,49,2,30,28,24,0,20
467726,Jose Mijares,MIN,AL,,2,2,167,37,37,6,22,32,1,23,21,24,0,10
467761,Fernando Hernandez,OAK,AL,,3,4,266,58,64,9,32,39,3,39,36,24,0,3
467785,Radhames Liz,BAL,AL,,7,9,644,144,142,22,78,112,6,85,79,26,17,0
468402,Charlie Zink,BOS,AL,,7,8,603,135,151,20,57,65,7,84,78,29,1,0
468962,Devern Hansack,BOS,AL,,7,7,543,124,133,20,46,91,4,72,67,31,0,4
469164,Ehren Wassermann,CHA,AL,,3,3,265,59,65,6,27,40,3,34,31,28,0,24
469167,Jose Ceda,CHN,NL,RP,2,2,190,42,38,5,29,45,2,23,21,22,,
469686,Alfredo Aceves,NYA,AL,,6,5,438,101,110,15,34,65,3,58,54,26,4,2
469735,Edwar Ramirez,NYA,AL,,5,2,269,64,53,6,26,75,3,26,24,28,0,55
470462,Ramon Troncoso,LAN,NL,,3,3,259,60,61,5,24,45,3,30,28,26,0,32
471911,Carlos Carrasco,PHI,NL,SP,7,7,575,130,123,21,68,107,6,73,68,22,,
472490,Jae Kuk Ryu,SDN,NL,,2,1,124,29,27,2,11,25,1,12,11,26,0,1
473560,Lance Broadway,CHA,AL,,6,10,648,142,177,26,59,84,4,102,94,25,1,6
474463,Brett Anderson,OAK,AL,SP,4,5,369,84,86,13,36,61,4,48,44,21,,
475022,Craig Hansen,PIT,NL,,4,3,291,66,60,4,39,56,3,31,29,25,0,48
475416,Justin Masterson,BOS,AL,,4,3,276,64,60,5,28,58,4,29,27,24,9,27
476206,Justin Thomas,SEA,AL,,5,9,599,130,143,21,74,83,8,88,81,25,0,8
