mlbamID,playerName,team,league,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,defaultPos,
477165,Brett Wallace,HOU,AL,1,4,1,1,0,0,0,0,0,3,0,0,0,58,0,8,0,0,0,0,0,1B,
429664,Robinson Cano,NYY,AL,1,4,0,1,0,0,0,0,0,2,0,0,0,0,154,0,0,0,0,0,0,2B,
461858,Trevor Plouffe,MIN,AL,1,4,1,1,1,0,0,0,0,1,0,0,0,3,4,95,1,2,0,15,17,3B,
519184,Ben Revere,PHI,AL,1,4,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,5,39,84,121,OF,
493364,Dayan Viciedo,CWS,AL,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,131,0,0,131,OF,
456124,Erik Kratz,PHI,AL,1,4,0,1,0,0,0,1,0,1,0,0,41,0,0,0,0,0,0,0,0,C,
476883,Pedro Alvarez,PIT,AL,1,4,0,1,0,0,0,1,0,1,0,0,0,0,0,145,0,0,0,0,0,3B,
460075,Ryan Braun,MIL,AL,1,4,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,151,0,0,151,OF,
493114,Norichika Aoki,MIL,AL,1,4,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,13,19,107,133,OF,
576397,Jedd Gyorko,SD,AL,1,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3B,
457708,Justin Upton,ATL,AL,1,4,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,149,149,OF,
460055,John Mayberry,PHI,AL,1,4,1,1,1,0,0,0,0,1,0,0,0,27,0,0,0,70,58,3,128,OF,
521692,Salvador Perez,KC,AL,1,4,0,1,0,0,0,0,0,2,0,0,74,0,0,0,0,0,0,0,0,C,
429711,Franklin Gutierrez,SEA,AL,1,4,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,38,0,38,OF,
435522,Neil Walker,PIT,AL,1,4,0,1,0,0,0,0,0,1,0,0,0,0,125,0,0,0,0,0,0,2B,
433898,Jeff Keppinger,CWS,AL,1,4,0,1,0,0,0,0,0,0,0,0,0,27,27,50,0,0,0,0,0,2B,
150289,Carlos Pena,HOU,AL,1,4,1,1,0,0,0,0,0,3,0,0,0,153,0,0,0,0,0,0,0,1B,
455126,Chris Nelson,COL,AL,1,4,0,1,0,0,0,0,0,1,0,0,0,0,21,92,1,0,0,0,0,3B,
475174,Yonder Alonso,SD,AL,1,4,1,1,0,0,1,1,0,0,0,0,0,149,0,0,0,0,0,0,0,1B,
400085,Ichiro Suzuki,NYY,AL,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,132,156,OF,
592743,Andrelton Simmons,ATL,AL,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,SS,
519203,Anthony Rizzo,CHC,AL,1,4,1,1,0,0,1,2,0,1,0,0,0,85,0,0,0,0,0,0,0,1B,
431151,David Wright,NYM,AL,1,4,1,1,0,0,0,1,1,0,2,0,0,0,0,155,1,0,0,0,0,3B,
434604,Michael Morse,SEA,AL,1,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,68,0,36,93,OF,
572122,Kyle Seager,SEA,AL,1,4,0,1,0,0,0,0,0,3,0,0,0,0,18,138,0,0,0,0,0,3B,
572761,Matt Carpenter,STL,AL,1,4,1,1,1,0,0,0,0,0,0,0,0,44,5,33,0,7,0,15,21,1B,
407812,Matt Holliday,STL,AL,1,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,152,0,0,152,OF,
444843,Andre Ethier,LAD,AL,1,4,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,147,148,OF,
444432,Mark Trumbo,LAA,AL,1,5,0,1,0,0,0,0,1,2,0,0,0,21,0,8,0,66,0,35,97,OF,
276519,Jimmy Rollins,PHI,AL,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,156,0,0,0,0,SS,
592710,Josh Rutledge,COL,AL,1,5,0,1,0,0,0,0,0,2,0,0,0,0,7,0,57,0,0,0,0,SS,
453943,Todd Frazier,CIN,AL,1,5,0,1,0,0,0,0,0,2,0,0,0,39,0,73,0,7,0,1,7,3B,
425545,Josh Willingham,MIN,AL,1,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,119,0,0,119,OF,
425491,Ryan Doumit,MIN,AL,1,5,0,1,0,0,0,1,0,2,0,0,59,1,0,0,0,16,0,6,22,C,
457706,Austin Jackson,DET,AL,1,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,137,0,137,OF,
545361,Mike Trout,LAA,AL,1,6,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,67,110,4,139,OF,
554429,Dustin Ackley,SEA,AL,1,3,1,0,0,0,0,0,1,1,0,0,0,11,142,0,0,0,0,0,0,2B,
467798,Jose Tabata,PIT,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,77,96,OF,
501800,Allen Craig,STL,AL,1,4,0,0,0,0,0,0,0,2,0,0,0,91,0,0,0,8,0,23,30,OF,
446359,Zack Cozart,CIN,AL,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,SS,
543305,Aaron Hicks,MIN,AL,1,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,OF,
502317,Chris Heisey,CIN,AL,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,63,36,13,101,OF,
518960,Jonathan Lucroy,MIL,AL,1,4,0,0,0,0,0,1,0,1,0,0,88,0,0,0,0,0,0,0,0,C,
9338,Jackie Bradley,BOS,AL,1,2,2,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,
9351,Khris Davis,MIL,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
542963,Rob Brantly,MIA,AL,1,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,C,
518792,Jason Heyward,ATL,AL,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,154,156,OF,
474892,Chris Carter,HOU,AL,1,4,0,0,0,0,0,0,0,2,0,0,0,55,0,0,0,0,0,0,0,1B,
488681,Brandon Barnes,HOU,AL,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,32,5,37,OF,
524968,Jesus Montero,SEA,AL,1,4,0,0,0,0,0,0,0,1,0,0,56,0,0,0,0,0,0,0,0,C,
488771,Jason Castro,HOU,AL,1,4,0,0,0,0,0,0,0,1,0,0,79,0,0,0,0,0,0,0,0,C,
588751,Adeiny Hechavarria,MIA,AL,1,3,0,0,0,0,0,0,0,2,0,0,0,0,8,18,17,0,0,0,0,SS,
519025,Will Middlebrooks,BOS,AL,1,4,1,0,0,0,0,0,1,2,0,0,0,0,0,72,0,0,0,0,0,3B,
543776,J.B. Shuck,LAA,AL,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,OF,
519299,Eric Sogard,OAK,AL,1,2,0,0,0,0,0,0,1,1,0,0,0,0,6,14,15,0,0,0,0,3B,
457787,Danny Espinosa,WAS,AL,1,3,0,0,0,0,0,0,0,0,0,0,0,0,126,0,36,0,0,0,0,2B,
437376,Justin Sellers,LAD,AL,1,4,0,0,0,0,0,0,0,1,0,0,0,0,3,7,9,0,0,0,0,
446263,Lucas Duda,NYM,AL,1,2,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,24,0,81,105,OF,
543459,Steve Lombardozzi,WAS,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51,13,1,41,0,0,41,2B,
461865,Andrew Romine,LAA,AL,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,8,0,0,0,0,3B,
543063,Brandon Crawford,SF,AL,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,139,0,0,0,0,SS,
506560,Alexi Amarista,SD,AL,1,2,0,0,0,0,0,0,0,0,0,0,0,0,52,1,12,27,11,4,34,3B,
519083,Derek Norris,OAK,AL,1,1,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,C,
547982,Leonys Martin,TEX,AL,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,14,0,17,OF,
543108,Andy Dirks,DET,AL,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,59,1,24,72,OF,
518902,Pete Kozma,STL,AL,1,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,25,0,0,0,0,SS,
474832,Brandon Belt,SF,AL,1,3,0,0,0,0,0,0,0,2,0,0,0,139,0,0,0,4,0,0,4,1B,
456488,Eduardo Nunez,NYY,AL,1,4,0,0,0,0,0,0,0,3,0,0,0,0,1,9,16,3,0,1,4,3B,
