playerName,W,L,GS,G,S,IP,H,ER,HR,K,BB
Ryan Rowland-Smith,11,8,28,29,0,165,180,72,16,104,47
Clay Buchholz,12,8,29,29,0,168,185,74,21,145,61
J.A. Happ,12,10,31,32,0,184,202,81,23,142,66
Kris Medlen,5,4,10,56,0,79,88,35,7,80,29
Joba Chamberlain,10,7,39,51,0,158,175,70,18,151,66
Gavin Floyd,13,10,32,32,0,195,218,87,25,156,61
Jonathan Sanchez,12,10,30,30,0,182,202,81,21,194,85
Derek Lowe,14,10,32,32,0,194,218,87,15,126,53
Johnny Cueto,13,10,31,31,0,189,212,85,25,164,64
Robinson Tejeda,7,6,28,59,0,118,132,53,11,119,60
Jordan Zimmermann,6,5,19,20,0,92,102,41,10,86,30
Daisuke Matsuzaka,13,8,29,29,0,166,188,75,21,156,78
Lance Cormier,3,3,1,65,0,73,82,33,7,41,26
Randy Wolf,12,9,31,31,0,192,218,87,22,152,64
Edinson Volquez,7,4,16,17,0,92,105,42,10,88,45
A.J. Burnett,14,9,32,32,0,194,220,88,23,192,81
John Lannan,10,12,32,32,0,196,222,89,21,103,63
Marc Rzepczynski,8,8,27,29,0,138,158,63,15,129,62
John Maine,11,8,29,31,0,155,175,70,17,130,67
Rick Porcello,12,9,30,30,0,180,205,82,21,110,52
Randy Wells,11,10,30,31,0,169,192,77,18,115,53
Aaron Cook,12,9,32,32,0,193,220,88,20,95,48
Ervin Santana,12,9,31,32,0,182,208,83,24,153,59
Kevin Correia,11,11,30,30,0,185,212,85,18,136,62
Brandon Morrow,8,7,31,38,0,135,155,62,17,128,66
Joel Pineiro,12,10,31,31,0,189,218,87,17,102,40
Brad Bergesen,11,8,29,29,0,174,200,80,16,97,40
Dallas Braden,10,9,29,30,0,164,188,75,16,106,49
Paul Maholm,11,10,33,33,0,199,228,91,19,128,60
Phil Coke,4,4,3,58,0,67,78,31,9,57,21
Barry Zito,12,11,32,32,0,196,225,90,21,151,80
Kenshin Kawakami,10,9,36,44,0,162,188,75,17,113,55
Mike Pelfrey,12,10,32,32,0,194,225,90,15,124,61
Bobby Parnell,4,4,2,65,0,75,88,35,7,65,33
Edwin Jackson,12,10,32,32,0,196,228,91,25,146,69
Mat Latos,8,7,22,22,0,135,158,63,15,116,55
Chien-Ming Wang,7,5,22,26,0,106,122,49,8,66,35
Aaron Harang,11,10,30,30,0,185,215,86,26,158,48
Joe Blanton,13,10,32,32,0,197,230,92,26,148,60
Justin Masterson,10,10,28,28,0,172,202,81,17,155,73
Bronson Arroyo,13,11,35,35,0,213,250,100,31,150,66
Mitchell Boggs,6,5,23,56,0,105,122,49,10,83,48
Bud Norris,9,8,30,35,0,141,165,66,19,136,58
Jeff Niemann,12,9,30,30,0,183,215,86,21,141,61
Gil Meche,11,10,30,30,0,185,218,87,21,145,70
Jon Garland,11,11,32,32,0,195,230,92,21,97,55
Nick Blackburn,12,10,32,32,0,198,232,93,25,100,39
Jorge de la Rosa,13,10,30,30,0,185,218,87,21,186,83
Ross Ohlendorf,10,11,31,31,0,191,225,90,26,130,59
Charlie Morton,10,10,27,27,0,167,198,79,16,116,62
Brad Penny,12,9,28,28,0,171,202,81,21,109,51
Brett Cecil,9,8,29,31,0,145,172,69,20,119,53
Ricky Romero,12,10,30,30,0,184,220,88,19,149,77
Kyle Lohse,11,9,28,28,0,170,205,82,20,105,49
Trevor Cahill,11,10,29,29,0,175,210,84,21,118,66
Francisco Liriano,9,8,33,42,0,139,168,67,17,131,56
Jason Hammel,11,10,37,42,0,176,212,85,19,134,53
Chris Volstad,11,10,29,29,0,178,215,86,22,124,62
Derek Holland,11,9,28,29,0,164,198,79,22,139,56
Andy Pettitte,13,9,31,31,0,189,228,91,20,136,65
Doug Davis,10,10,30,30,0,186,225,90,21,135,88
Joe Saunders,13,9,31,31,0,190,230,92,24,103,59
Brian Duensing,8,7,33,40,0,145,178,71,15,91,45
Jeremy Guthrie,11,11,32,32,0,194,238,95,26,120,58
Fernando Rodney,3,5,0,61,14,67,82,33,7,60,34
Miguel Batista,4,6,7,38,3,52,62,25,6,39,26
Zach Duke,11,13,33,33,0,201,245,98,21,103,50
Brett Myers,8,8,34,39,1,148,180,72,22,124,49
Doug Fister,6,6,23,43,0,94,115,46,12,59,22
Brian Bannister,10,10,29,29,0,176,215,86,17,108,50
Brian Tallet,6,8,27,68,0,127,158,63,13,96,56
Ian Snell,10,10,29,30,0,163,202,81,17,115,75
Chris Tillman,9,9,25,25,0,154,190,76,21,126,56
Tommy Hunter,10,9,27,27,0,165,205,82,21,104,48
Scott Feldman,12,10,32,33,0,184,230,92,20,112,64
Garrett Mock,6,9,31,41,0,138,172,69,14,118,60
Jeremy Bonderman,7,8,27,31,0,131,165,66,18,96,52
Chad Gaudin,7,6,23,61,0,116,148,59,14,98,54
Jason Marquis,11,12,33,33,0,194,245,98,19,99,75
Billy Buckner,7,8,33,43,0,138,175,70,18,112,51
Freddy Garcia,8,8,22,22,0,133,168,67,18,92,39
Ian Kennedy,6,7,26,32,0,116,148,59,13,93,46
Gio Gonzalez,10,9,29,31,0,155,195,78,20,166,80
Jarrod Washburn,9,10,28,28,0,171,218,87,22,101,53
Kevin Millwood,11,10,31,32,0,183,232,93,22,120,61
Jason Vargas,5,5,17,51,0,88,112,45,12,52,24
Tim Wakefield,10,7,29,32,0,142,182,73,18,86,51
Michael Dunn,1,1,0,25,0,28,35,14,3,31,15
Kyle Farnsworth,2,4,1,47,0,52,68,27,8,56,21
Manny Parra,10,10,29,30,0,165,212,85,19,146,76
Carl Pavano,11,9,28,28,0,165,212,85,21,120,35
Scott Richmond,8,8,31,40,0,139,180,72,21,113,52
David Bush,9,9,32,37,0,148,192,77,23,111,44
Andy Sonnanstine,6,6,26,54,0,112,145,58,15,72,30
Felipe Paulino,8,9,31,37,0,140,182,73,22,126,51
Oliver Perez,9,9,31,34,0,150,198,79,21,143,79
Luke Hochevar,9,11,28,29,0,166,218,87,20,127,50
Kyle Davies,7,9,34,50,0,140,185,74,19,103,61
Luke French,5,5,16,47,0,79,105,42,10,48,28
Garrett Olson,4,4,11,43,0,70,95,38,11,46,27
Rich Hill,5,6,22,28,0,97,132,53,12,79,51
Jamie Moyer,8,8,28,36,0,123,168,67,19,72,35
Braden Looper,11,11,33,34,0,179,245,98,28,91,54
Sergio Mitre,3,4,10,34,0,57,80,32,9,36,16
Micah Owings,7,9,26,56,0,117,162,65,17,79,51
Fausto Carmona,8,11,27,28,0,148,208,83,16,91,74
Carlos Silva,6,8,28,51,0,113,160,64,16,50,26
Jeff Suppan,8,11,31,34,0,154,222,89,23,77,62
Livan Hernandez,7,11,35,40,0,165,250,100,21,84,58
