mlbamID,adjIP,IP,S,Name
446321,88,,,"Detwiler, Ross "
592767,88,,,"Smyly, Drew "
453646,88,,,"Villanueva, Carlos "
446861,87,,,"Moscoso, Guillermo "
519105,86,,,"Parker, Jarrod "
461325,85,,2,"Clippard, Tyler "
493137,84,,,"Matsuzaka, Daisuke "
543819,84,,,"Stewart, Zach "
407908,84,,4,"Peralta, Joel "
517414,84,,,"Delgado, Randall "
547874,83,,,"Iwakuma, Hisashi "
502102,81,,,"Below, Duane "
501957,80,,,"Tillman, Chris "
150035,80,,27,"Farnsworth, Kyle "
461872,79,,,"Swarzak, Anthony "
521230,78,,,"Hendriks, Liam "
543070,78,,4,"Crow, Aaron "
459967,78,,,"LeCure, Sam "
458713,78,,,"Slowey, Kevin "
572070,77,,,"Richards, Garrett "
461791,77,,44,"Marmol, Carlos "
408206,77,,22,"Myers, Brett "
430606,77,,8,"Adams, Mike "
457435,76,,,"Coke, Phil "
474668,76,,,"Surkamp, Eric "
469159,76,,,"Rodriguez, Henry "
449097,76,,39,"Papelbon, Jonathan "
445156,76,,31,"Marshall, Sean "
452666,75,,,"Wilhelmsen, Tom "
518886,75,,41,"Kimbrel, Craig "
435400,75,,36,"Motte, Jason "
456696,75,,8,"Hernandez, David "
446641,75,,6,"Lopez, Wilton "
276542,75,,2,"Benoit, Joaquin "
275933,75,,2,"Downs, Scott "
450852,75,,,"Martinez, Cristhian "
434181,74,,39,"League, Brandon "
458924,74,,4,"Venters, Jonny "
502260,74,,1,"Pestano, Vinnie "
434180,74,,,"Loe, Kameron "
449072,74,,,"McClellan, Kyle "
430630,73,,,"Frasor, Jason "
430884,73,,,"Crain, Jesse "
518875,73,,,"Kelley, Shawn "
450282,73,,,"Perkins, Glen "
407819,73,,22,"Thornton, Matt "
445276,73,,12,"Jansen, Kenley "
453343,73,,3,"Melancon, Mark "
408061,73,,3,"Rodriguez, Francisco "
502085,73,,2,"Robertson, David "
400089,73,,2,"Soriano, Rafael "
445163,73,,,"Janssen, Casey "
448609,72,,,"Sipp, Tony "
453232,72,,,"Godfrey, Graham "
425514,72,,40,"Bell, Heath "
407878,72,,37,"Valverde, Jose "
477229,72,,36,"Walden, Jordan "
430629,72,,35,"Hanrahan, Joel "
458730,72,,3,"Parnell, Bobby "
447714,72,,,"O'Flaherty, Eric "
519240,72,,,"Rzepczynski, Marc "
502748,72,,,"Peacock, Brad "
446099,71,,39,"Axford, John "
462382,71,,24,"Johnson, Jim "
477569,71,,7,"Salas, Fernando "
136734,70,,,"Dotel, Octavio "
460701,70,,,"Russell, James "
457117,70,,,"Frieri, Ernesto "
542914,70,,,"Bass, Anthony "
434637,70,,,"Lindstrom, Matt "
488768,70,,,"Cashner, Andrew "
279571,70,,,"Belisle, Matt "
469134,70,,,"Rogers, Esmil "
435045,70,,34,"Santos, Sergio "
457915,70,,25,"Guerra, Javy "
592665,70,,12,"Reed, Addison "
502381,70,,4,"Gregerson, Luke "
493159,70,,,"Wada, Tsuyoshi "
407924,69,,,"Acosta, Manny "
433586,69,,,"Casilla, Santiago "
434298,69,,,"Coffey, Todd "
488786,69,,,"Coleman, Louis "
407911,69,,29,"Francisco, Frank "
518813,69,,14,"Holland, Greg "
434665,69,,,"Masset, Nick "
446185,69,,,"Ondrusek, Logan "
346793,69,,,"Affeldt, Jeremy "
150407,69,,,"Mota, Guillermo "
543022,69,,,"Chatwood, Tyler "
115629,68,,,"Hawkins, LaTroy "
433585,68,,,"Francis, Jeff "
407816,68,,34,"Putz, J.J. "
453198,68,,31,"Perez, Chris "
346797,68,,16,"Balfour, Grant "
400010,68,,4,"Rauch, Jon "
465629,68,,,"Mujica, Edward "
346871,67,,,"Cook, Aaron "
543766,67,,,"Shaw, Bryan "
519322,67,,40,"Storen, Drew "
451216,67,,36,"Wilson, Brian "
407825,67,,,"Guerrier, Matt "
459939,66,,,"Boggs, Mitchell "
502229,66,,,"White, Alex "
121250,66,,36,"Rivera, Mariano "
457732,66,,32,"Bailey, Andrew "
150188,66,,8,"Cordero, Francisco "
430673,66,,2,"Ramirez, Ramon "
119984,66,,,"Oliver, Darren "
430634,65,,,"Burnett, Sean "
460370,65,,,"Perez, Rafael "
276351,65,,,"Grilli, Jason "
571521,65,,,"Brothers, Rex "
434718,65,,29,"Street, Huston "
448165,65,,23,"Capps, Matt "
150118,65,,8,"Fuentes, Brian "
461766,65,,,"Arredondo, Jose "
444520,65,,,"Breslow, Craig "
452733,64,,,"Gorzelanny, Tom "
150438,64,,,"Lopez, Rodrigo "
541640,64,,,"Ramirez, Erasmo "
150274,64,,24,"Nathan, Joe "
502304,64,,4,"Carpenter, David "
455374,64,,2,"Bastardo, Antonio "
435538,64,,,"Bray, Bill "
448159,63,,,"Parra, Manny "
459429,63,,,"McGee, Jake "
445197,63,,,"Dunn, Mike "
434592,63,,,"Resop, Chris "
430589,62,,,"Qualls, Chad "
518553,62,,,"Cishek, Steve "
501745,62,,6,"De Los Santos, Fautino "
527054,62,,,"Teheran, Julio "
538227,62,,,"Takahashi, Hisanori "
525768,62,,,"Collins, Tim "
501925,61,,,"Smith, Joe "
455092,61,,,"Elbert, Scott "
451775,61,,,"Rodriguez, Fernando "
434442,61,,,"Howell, J.P. "
429783,61,,29,"Betancourt, Rafael "
407193,61,,6,"Lyon, Brandon "
425657,61,,1,"Lopez, Javier "
469802,60,,,"Perez, Luis "
502327,60,,,"Santiago, Hector "
449173,60,,,"Harrell, Lucas "
519186,60,,,"Reynolds, Matt "
134268,60,,,"Wood, Kerry "
446899,60,,,"Ziegler, Brad "
407842,59,,,"Veras, Jose "
488674,59,,,"Badenhop, Burke "
489265,59,,1,"Romo, Sergio "
400058,59,,,"Lidge, Brad "
349193,58,,,"Ohman, Will "
457429,58,,,"Logan, Boone "
453184,58,,,"Lincoln, Brad "
213680,58,,,"MacDougal, Mike "
460283,58,,,"Blevins, Jerry "
501870,58,,,"Teaford, Everett "
489189,58,,,"Outman, Josh "
455009,58,,22,"Broxton, Jonathan "
519259,58,,,"Schlereth, Daniel "
475857,57,,,"Cook, Ryan "
452741,56,,,"Stutes, Michael "
460677,56,,,"Wade, Cory "
467726,56,,,"Mijares, Jose "
430941,55,,,"Sherrill, George "
425646,55,,,"Ayala, Luis "
452249,55,,,"Owings, Micah "
502166,54,,,"Mills, Brad "
276530,54,,,"Linebrink, Scott "
407297,54,,,"Cruz, Juan "
467008,54,,,"Strop, Pedro "
458589,53,,,"Herndon, David "
503569,53,,,"Dolis, Rafael "
218894,53,,,"Padilla, Vicente "
276514,53,,8,"Gregg, Kevin "
475243,53,,,"Wood, Travis "
518703,53,,,"Furbush, Charlie "
136263,52,,,"Byrdak, Tim "
430580,52,,,"Simon, Alfredo "
457425,52,,,"Meek, Evan "
460366,51,,,"Thompson, Rich "
493157,51,,4,"Uehara, Koji "
599899,50,,,"Tateyama, Yoshinori "
488751,50,,,"Burnett, Alex "
460156,50,,,"Gomes, Brandon "
449079,50,,,"Wright, Wesley "
453192,49,,,"Miller, Andrew "
444446,49,,,"Balester, Collin "
500674,49,,,"Sanchez, Eduardo "
460092,49,,,"Leroux, Chris "
448269,49,,,"Bergesen, Brad "
462985,48,,,"Morales, Franklin "
457707,48,,,"Bell, Trevor "
453249,48,,,"Manship, Jeff "
472551,48,,,"Abad, Fernando "
452737,47,,,"Schwinden, Chris "
519110,47,,,"Paterson, Joe "
453265,47,,,"Watson, Tony "
407845,47,,3,"Rodney, Fernando "
458006,46,,,"Albers, Matt "
450275,46,,,"Lowe, Mark "
448178,45,,,"Jepsen, Kevin "
464400,45,,,"Sosa, Henry "
461856,45,,,"Patton, Troy "
516969,45,,,"Herrera, Kelvin "
545333,45,,,"Bauer, Trevor "
493416,45,,,"Saito, Takashi "
488722,44,,,"Braddock, Zach "
543343,44,,,"Hultzen, Danny "
458676,44,,,"Lindblom, Josh "
446209,44,,,"Litsch, Jesse "
518420,43,,,"Axelrod, Dylan "
110683,43,,,"Batista, Miguel "
124604,43,,,"Wright, Jamey "
491159,43,,,"Thatcher, Joe "
502083,42,,,"McAllister, Zach "
518715,41,,,"Gearrin, Cory "
488683,41,,,"Barnes, Scott "
240694,41,,,"Romero, J.C. "
430613,41,,,"Belisario, Ronald "
466918,41,,,"Corpas, Manuel "
444436,41,,,"Webb, Ryan "
457733,41,,,"Devine, Joey "
467850,41,,,"Escalona, Edgmer "
545363,41,,,"Turner, Jacob "
488787,40,,,"Coleman, Casey "
445001,40,,,"Cassevah, Bobby "
454535,40,,,"Hensley, Clay "
444935,40,,,"Hagadone, Nick "
329092,40,,,"Choate, Randy "
476011,39,,,"Maloney, Matt "
543272,39,,,"Hand, Brad "
467099,39,,,"Norberto, Jordan "
456379,38,,,"Alburquerque, Al "
425747,38,,,"Contreras, Jose "
460008,38,,,"Varvaro, Anthony "
425786,38,,,"Atchison, Scott "
476601,37,,,"Bowden, Michael "
116414,37,,,"Isringhausen, Jason "
448252,37,,,"Waldrop, Kyle "
445216,37,,,"McCutchen, Daniel "
489334,36,,,"Stammen, Craig "
518961,36,,,"Lueke, Josh "
503285,36,,,"O'Day, Darren "
502253,36,,,"Sanabia, Alex "
458919,35,,,"Mattheus, Ryan "
453307,35,,,"Huff, David "
457779,35,,,"Kirkman, Michael "
446398,35,,,"Carignan, Andrew "
502158,35,,,"Roenicke, Josh "
235095,34,,,"Wheeler, Dan "
446290,34,,,"Moskos, Daniel "
459987,34,,,"Ramos, Cesar "
430663,34,,,"Bruney, Brian "
543805,34,,,"Spence, Josh "
592704,33,,,"Ruffin, Chance "
489119,33,,,"Miley, Wade "
542960,33,,,"Brach, Brad "
502171,33,,,"Cobb, Alex "
500903,32,,,"Villarreal, Brayan "
453186,32,,,"Maine, Scott "
571578,32,,,"Corbin, Patrick "
448179,31,,,"Hill, Rich "
425647,31,,,"Carrasco, D.J. "
497807,31,,,"Herrmann, Frank "
449060,31,,,"Rapada, Clay "
444553,31,,,"Rodriguez, Aneury "
450212,31,,,"Neshek, Pat "
444874,30,,,"Abreu, Juan "
491688,30,,,"Del Rosario, Enerio "
460072,30,,,"Berken, Jason "
501687,29,,,"Marte, Luis "
501989,29,,,"Oliver, Andrew "
457422,29,,,"Dillard, Tim "
502046,29,,,"Locke, Jeff "
543726,29,,,"Ross, Robert "
477557,29,,,"Rodriguez, Francisco "
445968,29,,,"Eveland, Dana "
