mlbamID,playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,G_SP,G_RP,defaultPos,
455009,Jonathan Broxton,CIN,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,2,0,60,RP,
434378,Justin Verlander,DET,AL,1,1,1,0,0,0,0,0,0,5.0,3,0,0,0,2,7,33,0,SP,
279571,Matt Belisle,COL,AL,1,0,0,0,0,0,1,0,0,0.3,0,0,0,0,0,0,0,80,RP,
407819,Matt Thornton,CWS,AL,1,0,0,0,0,0,1,0,0,0.3,0,0,0,0,0,1,0,74,RP,
400089,Rafael Soriano,WAS,AL,1,0,0,0,1,0,0,0,0,1.0,0,0,0,0,0,2,0,69,RP,
276542,Joaquin Benoit,DET,AL,1,0,0,0,0,0,1,0,0,1.3,0,0,0,0,1,1,0,73,RP,
275933,Scott Downs,LAA,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,57,RP,
407193,Brandon Lyon,NYM,AL,1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,67,RP,
346793,Jeremy Affeldt,SF,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,1,0,67,RP,
430634,Sean Burnett,LAA,AL,1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,1,0,70,RP,
407853,Erik Bedard,HOU,AL,1,0,0,0,1,0,0,0,0,3.3,1,0,0,0,0,2,24,0,SP,
457429,Boone Logan,NYY,AL,1,0,0,0,0,0,0,0,0,0.7,1,0,0,0,0,0,0,80,RP,
430912,Matt Cain,SF,AL,1,1,0,0,0,0,0,0,0,6.0,4,0,0,0,1,8,32,0,SP,
491159,Joe Thatcher,SD,AL,1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,55,RP,
430629,Joel Hanrahan,BOS,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,63,RP,
461325,Tyler Clippard,WAS,AL,1,0,0,0,0,0,1,0,0,1.0,0,0,0,0,1,1,0,74,RP,
453192,Andrew Miller,BOS,AL,1,0,0,0,0,0,1,0,0,0.7,0,0,0,0,2,2,0,53,RP,
450275,Mark Lowe,LAA,AL,1,0,1,0,0,0,0,0,0,2.0,0,0,0,0,1,3,0,36,RP,
460283,Jerry Blevins,OAK,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,3,0,63,RP,
456501,Johnny Cueto,CIN,AL,1,1,0,0,0,0,0,0,0,7.0,3,1,1,1,2,9,33,0,SP,
468504,Jhoulys Chacin,COL,AL,1,1,0,0,0,0,0,0,0,6.7,3,1,1,1,3,6,14,0,SP,
448306,James Shields,KC,AL,1,1,0,1,0,0,0,0,0,6.0,8,1,1,1,0,6,33,0,SP,
450308,Jered Weaver,LAA,AL,1,1,0,0,0,0,0,0,0,6.0,2,1,1,0,2,4,30,0,SP,
453178,Ian Kennedy,ARI,AL,1,1,1,0,0,0,0,0,0,7.0,5,2,2,0,1,8,33,0,SP,
474463,Brett Anderson,OAK,AL,1,1,0,1,0,0,0,0,0,7.0,4,2,2,0,4,6,6,0,SP,
477003,Jonathon Niese,NYM,AL,1,1,1,0,0,0,0,0,0,6.7,4,2,2,1,2,4,30,0,SP,
542914,Anthony Bass,SD,AL,1,0,0,0,0,0,0,0,0,3.0,3,1,1,0,0,3,15,9,SP,
445060,Ricky Nolasco,MIA,AL,1,1,0,1,0,0,0,0,0,6.0,3,2,2,2,2,5,31,0,SP,
502032,Bud Norris,HOU,AL,1,1,1,0,0,0,0,0,0,5.7,5,2,2,0,3,5,29,0,SP,
452657,Jon Lester,BOS,AL,1,1,1,0,0,0,0,0,0,5.0,5,2,2,0,2,7,33,0,SP,
474699,Vance Worley,MIN,AL,1,1,0,1,0,0,0,0,0,6.0,8,3,3,0,1,3,23,0,SP,
425794,Adam Wainwright,STL,AL,1,1,0,1,0,0,0,0,0,6.0,11,4,3,0,0,6,32,0,SP,
150359,A.J. Burnett,PIT,AL,1,1,0,1,0,0,0,0,0,5.7,6,3,3,1,1,10,31,0,SP,
451596,Yovani Gallardo,MIL,AL,1,1,0,0,0,0,0,0,0,5.0,10,3,3,2,1,3,33,0,SP,
218596,Tim Hudson,ATL,AL,1,1,0,0,0,0,0,0,0,4.3,6,3,3,1,3,3,28,0,SP,
475479,David Phelps,NYY,AL,1,0,0,0,0,0,0,0,0,1.3,1,1,1,0,2,0,11,22,SP,
282332,CC Sabathia,NYY,AL,1,1,0,1,0,0,0,0,0,5.0,8,4,4,0,4,5,28,0,SP,
457448,Matt Harrison,TEX,AL,1,1,0,1,0,0,0,0,0,5.7,6,6,5,0,3,9,32,0,SP,
543331,J.J. Hoover,CIN,AL,1,0,0,1,0,0,0,0,0,2.0,2,2,2,0,2,3,0,28,RP,
477229,Jordan Walden,ATL,AL,1,0,0,0,0,0,1,0,0,1.0,2,1,1,0,0,1,0,45,RP,
446099,John Axford,MIL,AL,1,0,0,0,0,1,0,0,0,1.0,1,1,1,1,0,3,0,75,RP,
447714,Eric O'Flaherty,ATL,AL,1,0,0,0,0,0,0,0,0,1.0,1,1,1,0,0,0,0,64,RP,
430935,Cole Hamels,PHI,AL,1,1,0,1,0,0,0,0,0,5.0,7,5,5,3,1,5,31,0,SP,
9348,Joe Ortiz,TEX,AL,1,0,0,0,0,0,0,0,0,1.0,2,1,1,0,0,2,0,0,
488846,Brian Duensing,MIN,AL,1,0,0,0,0,0,0,0,0,0.7,1,1,1,0,2,1,11,44,RP,
493603,Adam Ottavino,COL,AL,1,0,0,1,0,0,0,0,0,0.7,0,1,1,0,2,1,0,53,RP,
592767,Drew Smyly,DET,AL,1,0,0,0,0,0,1,0,0,1.3,3,2,2,0,3,1,18,5,SP,
450172,Edinson Volquez,SD,AL,1,1,0,1,0,0,0,0,0,3.0,6,6,6,0,3,4,32,0,SP,
461791,Carlos Marmol,CHC,AL,1,0,0,0,0,0,1,0,0,0.3,1,1,1,0,1,1,0,61,RP,
446641,Wilton Lopez,COL,AL,1,0,0,0,0,1,0,0,0,1.0,4,3,3,0,0,0,0,64,RP,
117955,Derek Lowe,TEX,AL,1,0,0,0,0,0,0,0,0,0.3,1,1,1,1,0,1,21,17,SP,
502004,George Kontos,SF,AL,1,0,0,1,0,0,0,0,0,1.0,3,3,3,1,0,0,0,44,RP,
501955,Joba Chamberlain,NYY,AL,1,0,0,0,0,0,0,0,0,0.7,3,3,3,0,2,2,0,22,RP,
542960,Brad Brach,SD,AL,1,0,0,0,0,0,0,0,0,0.7,4,4,4,1,1,1,0,67,RP,
239795,Chad Durbin,PHI,AL,1,0,0,0,0,0,0,0,0,0.0,2,2,2,0,1,0,0,76,RP,
518703,Charlie Furbush,SEA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,48,RP,
433586,Santiago Casilla,SF,AL,1,0,0,0,0,0,0,0,0,0.0,0,1,1,0,1,0,0,73,RP,
477569,Fernando Salas,STL,AL,1,0,0,0,0,0,0,0,0,0.0,3,2,2,0,0,0,0,65,RP,
518858,Nate Jones,CWS,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,65,RP,
