mlbamID,playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,G_SP,G_RP,defaultPos,
502272,Casey Fien,MIN,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,3,0,35,RP,
519240,Marc Rzepczynski,STL,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,1,0,70,RP,
451628,Alfredo Figaro,MIL,AL,1,0,0,0,0,0,0,0,0,2.0,1,0,0,0,0,2,0,0,
456696,David Hernandez,ARI,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,2,0,72,SP,
544931,Stephen Strasburg,WAS,AL,1,1,1,0,0,0,0,0,0,7.0,3,0,0,0,0,3,28,0,SP,
445197,Mike Dunn,MIA,AL,1,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,60,RP,
518886,Craig Kimbrel,ATL,AL,1,0,0,0,1,0,0,0,0,1.0,0,0,0,0,0,1,0,63,RP,
547973,Aroldis Chapman,CIN,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,2,0,68,RP,
457117,Ernesto Frieri,LAA,AL,1,0,0,0,1,0,0,0,0,1.0,0,0,0,0,1,2,0,67,RP,
445612,Dale Thayer,SD,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,2,0,64,RP,
453343,Mark Melancon,PIT,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,2,0,41,RP,
457435,Phil Coke,DET,AL,1,0,0,0,1,0,0,0,0,0.7,0,0,0,0,0,1,0,66,RP,
502188,Jeff Samardzija,CHC,AL,1,1,1,0,0,0,0,0,0,8.0,2,0,0,0,1,9,28,0,RP,
446899,Brad Ziegler,ARI,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,77,RP,
488674,Burke Badenhop,MIL,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,2,0,66,RP,
448178,Kevin Jepsen,LAA,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,2,0,49,RP,
502158,Josh Roenicke,MIN,AL,1,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,1,0,63,RP,
457732,Andrew Bailey,BOS,AL,1,0,0,0,0,0,1,0,0,0.3,0,0,0,0,0,1,0,19,RP,
518875,Shawn Kelley,NYY,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,47,RP,
493157,Koji Uehara,BOS,AL,1,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,37,RP,
518418,Phillippe Aumont,PHI,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,1,0,18,RP,
543070,Aaron Crow,KC,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,73,RP,
523260,Joe Kelly,STL,AL,1,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,1,16,8,SP,
543668,Stephen Pryor,SEA,AL,1,0,0,0,0,0,1,0,0,0.3,0,0,0,0,0,0,0,26,RP,
516969,Kelvin Herrera,KC,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1,2,0,76,RP,
453172,Jared Hughes,PIT,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,66,RP,
501593,Luis Avilan,ATL,AL,1,0,1,0,0,0,0,0,0,1.7,1,0,0,0,1,1,0,31,RP,
449104,Jim Henderson,MIL,AL,1,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,36,RP,
9349,Scott Rice,NYM,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,2,0,0,
493117,Kyuji Fujikawa,CHC,AL,1,0,0,0,1,0,0,0,0,0.3,0,0,0,0,0,0,0,0,RP,
458677,Justin Wilson,PIT,AL,1,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,2,0,8,SP,
592665,Addison Reed,CWS,AL,1,0,0,0,1,0,0,0,0,1.0,0,0,0,0,1,1,0,62,RP,
572070,Garrett Richards,LAA,AL,1,0,0,0,0,0,0,0,0,1.7,1,0,0,0,1,1,9,21,SP,
519242,Chris Sale,CWS,AL,1,1,1,0,0,0,0,0,0,7.7,7,0,0,0,1,7,29,1,RP,
459967,Sam LeCure,CIN,AL,1,0,0,0,0,0,0,0,0,2.0,1,0,0,0,2,1,0,48,RP,
460701,James Russell,CHC,AL,1,0,0,0,0,0,1,0,0,0.3,0,0,0,0,0,0,0,77,RP,
456379,Al Alburquerque,DET,AL,1,0,0,0,0,0,1,0,0,0.7,1,0,0,0,0,2,0,8,RP,
452666,Tom Wilhelmsen,SEA,AL,1,0,0,0,1,0,0,0,0,1.0,0,0,0,0,1,0,0,73,RP,
456662,Jeremy Horst,PHI,AL,1,0,0,0,0,0,0,0,0,2.0,1,0,0,0,0,2,0,32,RP,
571521,Rex Brothers,COL,AL,1,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,1,0,75,RP,
543136,Cody Eppley,NYY,AL,1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,59,RP,
477132,Clayton Kershaw,LAD,AL,1,1,1,0,0,0,0,1,1,9.0,4,0,0,0,0,7,33,0,SP,
547749,Junichi Tazawa,BOS,AL,1,0,0,0,0,0,1,0,0,1.0,1,0,0,0,0,0,0,37,RP,
425786,Scott Atchison,NYM,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,42,RP,
430589,Chad Qualls,MIA,AL,1,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0,60,RP,
430630,Jason Frasor,TEX,AL,1,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,0,50,RP,
433587,Felix Hernandez,SEA,AL,1,1,1,0,0,0,0,0,0,7.7,3,0,0,0,1,8,33,0,SP,
434592,Chris Resop,OAK,AL,1,0,0,0,0,0,0,0,0,1.0,1,0,0,0,0,2,0,61,RP,
