mlbamID,G,G_batting,G_defense,G_p,GS,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of
572140,6,6,6,6,6,0,0,0,0,0,0,0,0,0
572253,50,50,26,0,23,0,4,0,23,0,0,0,0,0
572761,114,114,90,0,66,0,44,5,33,0,7,0,15,21
572821,84,84,83,0,81,0,0,0,0,83,0,0,0,0
572831,34,34,34,34,0,0,0,0,0,0,0,0,0,0
572971,17,16,16,16,16,0,0,0,0,0,0,0,0,0
573109,11,11,11,11,0,0,0,0,0,0,0,0,0,0
573131,12,12,9,0,9,0,3,0,0,0,6,0,0,6
573185,7,0,7,7,7,0,0,0,0,0,0,0,0,0
573244,3,0,3,3,3,0,0,0,0,0,0,0,0,0
578428,25,25,24,0,23,0,0,0,0,24,0,0,0,0
579799,4,0,4,4,0,0,0,0,0,0,0,0,0,0
588751,41,41,40,0,39,0,0,8,18,17,0,0,0,0
592407,6,6,6,0,3,6,0,0,0,0,0,0,0,0
592518,51,51,51,0,51,0,0,0,51,0,0,0,0,0
592609,16,16,15,0,11,0,8,0,5,0,0,0,2,2
592665,62,5,62,62,0,0,0,0,0,0,0,0,0,0
592710,73,73,64,0,63,0,0,7,0,57,0,0,0,0
592743,49,49,49,0,49,0,0,0,0,49,0,0,0,0
592767,23,1,23,23,18,0,0,0,0,0,0,0,0,0
592804,8,8,8,8,3,0,0,0,0,0,0,0,0,0
594777,21,21,16,0,3,0,0,0,0,0,4,0,14,16
594809,22,22,21,0,21,0,0,0,0,0,1,21,0,21
595777,9,9,8,0,4,0,0,5,0,3,0,0,0,0
599819,8,8,8,8,8,0,0,0,0,0,0,0,0,0
599899,14,0,14,14,0,0,0,0,0,0,0,0,0,0
605164,2,0,2,2,0,0,0,0,0,0,0,0,0,0
605169,18,0,18,18,0,0,0,0,0,0,0,0,0,0
612672,32,2,32,32,32,0,0,0,0,0,0,0,0,0
