mlbamID,playerName,Tm,Pos,Age,PA
457133,Wilkin Ramirez,DET,OF,24,98
449168,Matt Tuiasosopo,SEA,2B,24,97
460022,Tyler Greene,SLN,SS,26,96
462950,Danny Richar,FLO,3B,27,95
122644,Matt Stairs,SDN,OF,42,94
340392,Timo Perez,LAN,OF,35,93
430931,Daniel Ortmeier,COL,1B,29,92
444839,Craig Stansberry,SDN,,28,92
150482,Josh Phelps,COL,1B,32,91
424325,David Ross,ATL,C,33,90
456428,Ryan Strieby,DET,1B,24,90
430404,Jonny Gomes,,OF,29,89
408312,Mike Jacobs,KCA,,29,88
455369,Ramiro Pena,NYA,SS,24,88
468470,Reegie Corona,NYA,2B,23,86
282905,Andy Tracy,,1B,36,85
407777,Ben Broussard,CHA,1B,33,85
407862,Reed Johnson,LAN,OF,33,85
430622,Cory Sullivan,HOU,OF,30,84
452989,Edgar Gonzalez,,2B,32,82
400290,Austin Kearns,CLE,OF,30,80
454560,A.J. Ellis,LAN,C,29,80
457926,Paul Janish,CIN,SS,27,80
458210,Alexi Casilla,MIN,2B,25,80
276547,DeWayne Wise,PHI,OF,32,78
457762,Bryan Anderson,SLN,C,23,78
461235,Brandon Moss,PIT,OF,26,78
445599,Scott Moore,BAL,3B,26,77
285068,Cody Ransom,PHI,3B,34,75
408242,Wil Nieves,WAS,C,32,75
452121,Brent Lillibridge,CHA,2B,26,75
502143,Danny Valencia,MIN,3B,25,73
518799,Steven Hill,SLN,C,25,73
425542,Koyie Hill,CHN,C,31,72
449082,Xavier Paul,LAN,OF,25,69
435623,Kevin Frandsen,SFN,2B,28,68
464900,Alex Romero,HOU,OF,26,67
400120,Chris Coste,NYN,C,37,66
340393,Ross Gload,PHI,1B,34,65
430927,Brian Buscher,CLE,3B,29,65
435539,Jerry Owens,WAS,OF,29,63
434625,Jeff Salazar,BAL,OF,29,62
429710,Chad Tracy,CHN,1B,30,61
455126,Christopher Nelson,COL,SS,24,61
459714,Buck Coats,KCA,OF,28,61
445933,Bryan LaHair,CHN,1B,27,57
474892,Chris Carter,OAK,1B,23,57
460621,Nate Spears,BOS,3B,25,56
292294,Luis Figueroa,LAA,SS,36,53
218595,Chris Woodward,SEA,3B,34,52
458000,Terry Evans,LAA,OF,28,52
461811,Josh Anderson,CIN,OF,27,52
502125,Tyler Colvin,CHN,OF,24,49
429662,Josh Barfield,SDN,2B,27,46
430957,Brad Snyder,CHN,OF,28,45
454975,Hernan Iribarren,MIL,2B,26,45
458582,Reid Brignac,TBA,SS,24,45
453400,Christopher Johnson,HOU,3B,25,44
425865,Tagg Bozied,PHI,OF,30,43
425904,Luis Rodriguez,SDN,SS,30,42
489262,Ryan Rohlinger,SFN,3B,26,41
111867,Miguel Cairo,CIN,2B,36,40
460269,Chris Gimenez,CLE,1B,27,40
400140,Wilson Betemit,KCA,1B,28,38
474233,Hank Conger,LAA,C,22,38
445584,Matt Tupman,KCA,C,30,36
446560,Rhyne Hughes,TBA,1B,26,36
408211,Kevin Cash,HOU,C,32,35
453923,Gregor Blanco,ATL,OF,26,35
476633,Chris Parmelee,MIN,1B,22,35
498568,Barbaro Canizares,ATL,1B,30,34
502029,Chris Marrero,WAS,1B,21,34
488795,Bradley Coon,LAA,OF,27,33
407849,Bill Hall,BOS,OF,30,32
430958,Mike Rabelo,FLO,C,30,32
449080,Eric Duncan,ATL,3B,25,31
501941,Christopher Pettit,LAA,OF,25,31
502151,Chad Huffman,SDN,OF,25,29
136724,Marlon Anderson,,OF,36,28
150367,Pablo Ozuna,,2B,35,27
460261,Clint Sammons,ATL,C,27,27
502034,Emmanuel Burriss,SFN,2B,25,27
457130,Vinny Rottino,FLO,1B,30,26
451109,Brett Hayes,FLO,1B,26,24
454573,Cole Armstrong,CHA,C,26,24
110385,Brad Ausmus,LAN,C,41,23
150224,Chad Moeller,BAL,C,35,23
440361,Norris Hopper,MIL,OF,31,23
446868,Wilkin Castillo,CIN,,26,23
431143,Edwin Bellorin,KCA,C,28,21
407576,Mike Rivera,NYA,C,33,18
459774,Jason Delaney,FLO,1B,27,18
430631,Reggie Abercrombie,HOU,OF,29,17
446192,Adam Moore,SEA,C,26,17
459425,Matt Macri,MIN,2B,28,17
461834,Tug Hulett,BOS,2B,27,17
407785,Anderson Machado,MIL,2B,29,16
446474,Edwin Maysonet,HOU,2B,28,16
450641,Quintin Berry,PHI,OF,25,15
453203,Shane Robinson,SLN,OF,25,15
150137,Paul Hoover,PHI,C,34,14
488754,Jacob Butler,TOR,1B,27,14
111213,Aaron Boone,,1B,37,13
150275,Yorvit Torrealba,SDN,C,31,13
469040,Argenis Reyes,LAN,2B,27,13
433591,Joel Guzman,WAS,3B,25,12
448605,Justin Ruggiano,TBA,OF,28,12
446382,Brian Barton,LAN,OF,28,10
425477,Robb Quinlan,LAA,1B,33,9
431167,Larry Broadway,PIT,1B,29,9
456078,Welington Castillo,CHN,C,23,9
463610,Gregorio Petit,OAK,2B,25,9
425769,Eliezer Alfonzo,SDN,C,31,9
150089,Michel Hernandez,TBA,C,31,8
434562,Chris Roberson,ARI,OF,30,8
434659,Chris Duffy,PHI,OF,30,8
447816,Angel Sanchez,BOS,SS,26,8
451259,Dusty Brown,BOS,C,27,8
457821,Wes Bankston,CIN,3B,26,7
424366,John-Ford Griffin,LAN,1B,30,6
435078,Joaquin Arias,TEX,2B,25,6
455725,Steve Holm,SFN,C,30,6
461882,Jesus Guzman,SFN,1B,26,6
407556,Angel Berroa,LAN,SS,32,6
150416,Danny Ardoin,LAN,C,35,4
276354,Matt Treanor,MIL,C,34,4
280061,Corky Miller,,C,34,4
425833,Max St.Pierre,DET,C,30,4
434626,Ryan Shealy,TBA,1B,30,4
452150,Ryan Budde,LAA,C,30,4
490314,Michel Abreu,NYN,1B,31,4
452052,Ben Johnson,LAA,,29,3
453857,Brock Peterson,MIN,1B,26,3
456488,Eduardo Nunez,NYA,SS,23,3
457493,Shawn Riggans,NYN,C,29,3
458036,Nick Stavinoha,SLN,OF,28,3
458236,Brett Dowdy,SDN,2B,28,3
464281,Oswaldo Navarro,SEA,SS,25,3
446044,Josh Rodriguez,CLE,SS,25,3
400154,Dane Sardinha,PHI,C,31,2
408209,Tommy Murphy,KCA,OF,30,2
430838,Willy Taveras,WAS,OF,28,2
453362,Chris Valaika,CIN,SS,24,2
471863,Luke Hughes,MIN,3B,25,2
430653,Justin Knoedler,SFN,C,29,1
434682,Luis Hernandez,KCA,SS,26,1
467092,Wilson Ramos,MIN,C,22,1
501814,Brian Bocock,PHI,SS,25,1
430951,Nick Gorneault,LAA,OF,31,0
467003,Javier Castillo,NYN,3B,26,0
